"YearMonth","StockPack","Count","P.lst.number","Main.Transport.No","Warehouse","Transport.Mode","Carrier","Destination.City","P.lst.Destination.Zip.Code","Destination.Country","Load.Closed.Date","Expected.Time.of.Arrival","POD_ATA","Leadtime..avg.","POD_ATA.Exists","On.Time.Delivery..OTD.","Arrived.at.Harbour.Airport..ATA.","Actual.Delivery.Date..POD."
"NA - NA","Z159760",2,"Z159760","6673345754","23","Land","Sandvik CSRT","ÅKERSBERGA","184 32","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159772",2,"Z159772","6673345762","23","Land","Sandvik CSRT","STOCKHOLM","11648","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159772",2,"Z159772","6673345762","23","Land","Sandvik CSRT","STOCKHOLM","11648","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159779",1,"Z159779","JTARGETROC2385270STK","C4","Land","SuperGroup","WELKOM","1462","South Africa","2023-03-08","2023-03-14","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159795",1,"Z159795","JKHO1112385411STK","C4","Land","SuperGroup","ATT: BERNARDUS","2","South Africa","2023-03-08","2023-03-10","2023-03-09","1","Yes","Yes","-","2023-03-09"
"NA - NA","Z159845",1,"Z159845","6673346562","23","Land","Sandvik CSRT","HAFRSFJORD","4044","Norway","2023-03-08","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159845",1,"Z159845","6673346562","23","Land","Sandvik CSRT","HAFRSFJORD","4044","Norway","2023-03-08","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159846",1,"Z159846","6673346638","23","Land","Sandvik CSRT","JÄRFÄLLA","177 46","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159846",1,"Z159846","6673346638","23","Land","Sandvik CSRT","JÄRFÄLLA","177 46","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159852",1,"Z159852","6325325782","12","Sea","Sandvik CSRT","TARKWA","00000","Ghana","2023-03-09","-","2023-03-13","4","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159852",1,"Z159852","6325325782","12","Sea","Sandvik CSRT","TARKWA","00000","Ghana","2023-03-09","-","2023-03-13","4","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159858",1,"Z159858","6673349228","37","Air","Sandvik CSRT","VESPASIANO","33200-000","Brazil","2023-03-09","-","2023-03-24","9","Yes","-","2023-03-24","2023-03-24"
"NA - NA","Z159858",1,"Z159858","6673349228","37","Air","Sandvik CSRT","VESPASIANO","33200-000","Brazil","2023-03-09","-","2023-03-24","9","Yes","-","2023-03-24","2023-03-24"
"NA - NA","Z159862",1,"Z159862","6325325782","12","Sea","Sandvik CSRT","KUMASI","00000","Ghana","2023-03-09","-","2023-03-13","4","Yes","-","2023-03-13","2023-03-13"
